0.0		5109.2		5100.0
0.2		5103.68		5102.859
0.4		5112.521		5111.155
0.6		5122.81		5122.292
0.8		5129.704		5129.991
1.0		5133.445		5132.653
1.2		5134.045		5134.375
1.4		5133.099		5133.633
1.6		5123.972		5123.217
1.8		5109.089		5107.015
2.0		5101.776		5099.859
2.2		5106.323		5106.138
2.4		5114.204		5114.356
2.6		5116.993		5115.757
2.8		5118.7		5117.671
3.0		5129.035		5129.246
3.2		5142.663		5143.013
3.4		5144.682		5142.808
3.6		5132.205		5129.881
3.8		5121.427		5120.706
4.0		5119.237		5119.918
4.2		5115.966		5116.066
4.4		5107.314		5106.445
4.6		5104.151		5103.709
4.8		5113.629		5114.449
5.0		5126.572		5126.694
5.2		5129.456		5128.198
5.4		5128.085		5127.849
5.6		5137.055		5136.837
5.8		5142.247		5143.111
6.0		5129.876		5132.636
6.2		5118.69		5119.297
6.4		5119.011		5118.325
6.6		5118.0		5119.045
6.8		5110.09		5111.662
7.0		5110.931		5108.759
7.2		5122.685		5119.512
7.4		5132.741		5133.944
7.6		5137.745		5139.653
7.8		5136.225		5134.696
8.0		5130.574		5127.257
8.2		5125.237		5126.125
8.4		5123.766		5127.237
8.6		5120.089		5118.994
8.8		5112.52		5108.326
9.0		5113.394		5113.824
9.2		5127.658		5130.864
9.4		5134.582		5134.308
9.6		5127.174		5123.629
9.8		5128.865		5122.944
10.0		5139.169		5134.75
10.2		5139.131		5137.784
10.4		5129.97		5128.357
10.6		5125.609		5122.519
10.8		5124.021		5123.464
11.0		5118.009		5119.99
11.2		5112.522		5110.947
11.4		5114.57		5109.209
11.6		5123.44		5119.902
11.8		5134.552		5131.773
12.0		5140.017		5133.529
12.2		5138.562		5130.65
12.4		5137.72		5133.58
12.6		5137.166		5137.794
12.8		5132.179		5130.407
13.0		5121.183		5114.678
13.2		5112.883		5108.5
13.4		5116.246		5117.292
13.6		5125.002		5125.923
13.8		5126.07		5122.376
14.0		5124.352		5116.83
14.2		5130.923		5121.997
14.4		5136.907		5129.683
14.6		5133.408		5127.154
14.8		5128.748		5122.146
15.0		5127.658		5124.51
15.2		5123.619		5126.976
15.4		5117.035		5122.279
15.6		5115.523		5117.233
15.8		5120.592		5118.6
16.0		5125.811		5122.141
16.2		5126.39		5120.789
16.4		5125.085		5116.309
16.6		5125.355		5117.545
16.8		5127.773		5125.194
17.0		5129.191		5129.371
17.2		5122.846		5123.631
17.4		5112.78		5114.857
17.6		5108.996		5112.866
17.8		5112.5		5116.601
18.0		5113.72		5117.131
18.2		5111.346		5114.175
18.4		5114.65		5115.157
18.6		5122.893		5121.326
18.8		5127.657		5124.979
19.0		5126.64		5121.177
19.2		5123.593		5116.388
19.4		5117.35		5117.973
19.6		5109.265		5120.446
19.8		5103.406		5115.212
20.0		5102.515		5109.446
20.2		5105.823		5112.581
20.4		5109.603		5116.297
20.6		5111.064		5110.046
20.8		5112.626		5103.475
21.0		5116.929		5108.391
21.2		5117.734		5116.917
21.4		5113.418		5117.82
21.6		5110.869		5116.107
21.8		5111.987		5118.451
22.0		5110.661		5119.917
22.2		5108.019		5115.623
22.4		5107.573		5108.299
22.6		5106.669		5103.64
22.8		5104.397		5104.368
23.0		5104.162		5107.327
23.2		5105.929		5105.63
23.4		5107.402		5101.415
23.6		5109.276		5104.283
23.8		5109.042		5113.125
24.0		5108.326		5116.034
24.2		5107.304		5110.554
24.4		5102.353		5105.966
24.6		5096.198		5106.993
24.8		5096.067		5108.015
25.0		5102.16		5103.808
25.2		5104.811		5099.436
25.4		5102.549		5099.731
25.6		5101.535		5100.348
25.8		5101.091		5099.24
26.0		5101.015		5103.252
26.2		5100.824		5109.762
26.4		5095.924		5108.288
26.6		5091.03		5101.195
26.8		5092.569		5098.592
27.0		5096.602		5100.216
27.2		5097.331		5099.336
27.4		5092.553		5092.646
27.6		5087.411		5085.125
27.8		5088.745		5087.351
28.0		5094.237		5099.532
28.2		5099.367		5108.251
28.4		5101.729		5106.424
28.6		5102.005		5102.655
28.8		5099.988		5102.468
29.0		5093.622		5099.688
29.2		5086.937		5091.426
29.4		5083.839		5085.412
29.6		5081.365		5083.66
29.8		5076.578		5080.767
30.0		5076.209		5079.651
30.2		5085.112		5086.905
30.4		5095.403		5096.559
30.6		5096.948		5099.015
30.8		5091.435		5097.674
31.0		5088.09		5098.676
31.2		5086.805		5099.492
31.4		5083.193		5095.43
31.6		5076.336		5085.464
31.8		5065.701		5073.547
32.0		5061.374		5069.562
32.2		5068.193		5075.99
32.4		5072.59		5082.632
32.6		5068.954		5084.526
32.8		5068.444		5088.331
33.0		5075.42		5094.65
33.2		5078.239		5095.627
33.4		5071.17		5089.996
33.6		5059.906		5083.229
33.8		5055.08		5078.158
34.0		5054.706		5072.971
34.2		5048.044		5068.889
34.4		5038.886		5070.014
34.6		5042.487		5075.932
34.8		5057.54		5080.616
35.0		5064.149		5084.379
35.2		5062.353		5091.301
35.4		5060.524		5095.33
35.6		5056.084		5088.492
35.8		5048.142		5076.338
36.0		5036.932		5067.36
36.2		5025.72		5062.255
36.4		5023.668		5060.634
36.6		5031.462		5061.683
36.8		5039.48		5065.012
37.0		5044.492		5074.118
37.2		5050.233		5088.371
37.4		5058.42		5094.764
37.6		5059.645		5087.628
37.8		5050.084		5080.123
38.0		5042.252		5079.307
38.2		5039.537		5073.639
38.4		5035.381		5059.952
38.6		5027.142		5051.73
38.8		5023.118		5054.699
39.0		5029.908		5060.193
39.2		5041.481		5064.39
39.4		5051.054		5073.935
39.6		5058.021		5086.66
39.8		5061.601		5090.734
