t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
9.5		0.000137682		0.0009479		8.25E-05		0.000584755
9.6		0.000135641		0.000953389		8.19E-05		0.000581594
9.7		0.000134683		0.000953855		8.15E-05		0.000581388
9.8		0.00013605		0.000955866		8.26E-05		0.000586969
9.9		0.000137822		0.000953794		8.36E-05		0.000596105
10		0.000135593		0.000942941		8.28E-05		0.000602318
10.1		0.000134523		0.000937419		8.25E-05		0.000604759
10.2		0.000134956		0.000934537		8.27E-05		0.000601351
10.3		0.000135814		0.000940443		8.39E-05		0.000600059
10.4		0.000136483		0.000950873		8.41E-05		0.000592795
10.5		0.00013588		0.000951888		8.29E-05		0.000586596
10.6		0.000137588		0.00096105		8.33E-05		0.000587679
10.7		0.000139409		0.00095751		8.40E-05		0.000591014
10.8		0.000137867		0.000948155		8.43E-05		0.000597045
10.9		0.000138555		0.000951986		8.42E-05		0.000602493
11		0.000139454		0.000957927		8.47E-05		0.000604377
11.1		0.00013789		0.000947462		8.55E-05		0.000602336
11.2		0.000138116		0.000955978		8.64E-05		0.000604902
11.3		0.00014008		0.000974248		8.84E-05		0.00061152
11.4		0.000143352		0.000994456		9.02E-05		0.000623729
11.5		0.000141308		0.000969316		9.01E-05		0.000621381
11.6		0.000139792		0.000952977		9.06E-05		0.000627537
11.7		0.000138616		0.000947086		9.02E-05		0.000628423
11.8		0.000137211		0.000940589		8.96E-05		0.000625729
11.9		0.00013713		0.00093457		9.05E-05		0.000626914
12		0.000136892		0.000934538		9.15E-05		0.000631253
12.1		0.000137085		0.000936544		9.18E-05		0.000632811
12.2		0.000138268		0.000944485		9.23E-05		0.000636057
12.3		0.000139314		0.000950387		9.27E-05		0.000638696
12.4		0.000139815		0.000952154		9.36E-05		0.000644192
12.5		0.000139925		0.000953644		9.39E-05		0.000645869
12.6		0.000141262		0.000962318		9.51E-05		0.000655535
12.7		0.000144073		0.00098098		9.83E-05		0.000679397
12.8		0.000143197		0.000974143		9.93E-05		0.000684511
12.9		0.000139408		0.000954207		9.60E-05		0.000663651
13		0.000140056		0.000959717		9.56E-05		0.000659854
13.1		0.000142289		0.000973458		9.58E-05		0.000660743
13.2		0.000139656		0.000952609		9.35E-05		0.00064502
13.3		0.000138203		0.000942007		9.33E-05		0.000642234
13.4		0.000139868		0.000952693		9.46E-05		0.000649556
13.5		0.000145302		0.000987027		9.80E-05		0.000670377
13.6		0.000147282		0.000995212		0.00010016		0.000685612
13.7		0.000144672		0.000978441		0.000100254		0.000687397
13.8		0.000145456		0.000986012		0.000101622		0.000696849
13.9		0.000148701		0.001008593		0.000103955		0.00071132
14		0.0001471		0.000998949		0.000103003		0.000704444
14.1		0.000143756		0.000981305		0.000101391		0.00069387
14.2		0.000142297		0.00097603		0.000101056		0.000692332
14.3		0.000142294		0.000979265		0.000101667		0.00069727
14.4		0.000143179		0.000987175		0.000103452		0.00070951
14.5		0.000143446		0.000990275		0.000105552		0.000725336
14.6		0.000142854		0.000988709		0.000105707		0.000728554
14.7		0.000144821		0.001004165		0.000107839		0.000740734
14.8		0.0001516		0.001049464		0.00011444		0.000780006
14.9		0.000149522		0.001033504		0.000110721		0.000756858
15		0.00014611		0.001012037		0.000107362		0.000737602
15.1		0.000146663		0.001017139		0.000107842		0.000741298
15.2		0.000151428		0.001042664		0.000111762		0.000764145
15.3		0.000154902		0.001057837		0.000116295		0.000787559
15.4		0.0001491		0.001027542		0.000110305		0.000756586
15.5		0.000147719		0.001026924		0.0001092		0.000751241
15.6		0.000150968		0.001050247		0.00011133		0.000765639
15.7		0.000158237		0.001092504		0.000118504		0.000812719
15.8		0.000155556		0.001079515		0.000116701		0.000801426
15.9		0.000154195		0.00107812		0.000116598		0.000799371
16		0.000154384		0.001082586		0.000115412		0.000793173
16.1		0.00015651		0.001094015		0.000116876		0.000801289
16.2		0.000156379		0.00109013		0.0001189		0.00081118
16.3		0.000153765		0.001070773		0.000118561		0.000807279
16.4		0.000153142		0.001066322		0.00011785		0.000802126
16.5		0.000153617		0.001071604		0.000117499		0.000800624
16.6		0.000153418		0.001075808		0.000118174		0.000808622
16.7		0.000153333		0.001084015		0.000120138		0.0008248
16.8		0.000153288		0.001089835		0.000119995		0.000826265
16.9		0.000155667		0.001111504		0.000120656		0.00083276
17		0.000159675		0.001140322		0.000123257		0.00085119
17.1		0.000163473		0.001156123		0.000131969		0.000908176
17.2		0.000158215		0.00112501		0.000128144		0.000885081
17.3		0.000158004		0.001126751		0.000127185		0.000878455
17.4		0.000162058		0.001157168		0.000131883		0.0009091
17.5		0.000157986		0.001142862		0.000128994		0.000896569
17.6		0.00015574		0.001137615		0.000126945		0.000886783
17.7		0.00015752		0.001151786		0.000126451		0.0008828
17.8		0.000163253		0.001186839		0.000129204		0.000900142
17.9		0.000169506		0.001228143		0.000134635		0.000929119
18		0.000165337		0.001194962		0.000131893		0.000914016
18.1		0.000166709		0.001204223		0.00013367		0.000926343
18.2		0.000169131		0.001222722		0.000133988		0.000929455
18.3		0.00016931		0.001223981		0.000134312		0.000932588
18.4		0.000166608		0.001211814		0.000134202		0.000935762
18.5		0.000163942		0.001195894		0.00013241		0.000930812
18.6		0.000162987		0.001191058		0.000131364		0.000926833
18.7		0.000162645		0.001188722		0.000131906		0.000932923
18.8		0.000160134		0.0011672		0.000132572		0.00093845
