0.0		-4.172682		-1.659107
0.2		-0.02831285		-1.647655
0.4		0.6332352		-1.907411
0.6		-0.009907905		-2.225307
0.8		-1.306356		-2.252308
1.0		-0.8755441		-2.049531
1.2		0.04530042		-1.934225
1.4		1.764871		-1.930511
1.6		-0.2304919		-1.792911
1.8		-1.227654		-1.557058
2.0		1.510761		-1.628784
2.2		0.4732381		-2.153046
2.4		1.753448		-2.718504
2.6		-2.665075		-2.939846
2.8		-2.084213		-2.935467
3.0		-1.737286		-2.932918
3.2		-0.03267526		-2.82367
3.4		0.2520751		-2.453267
3.6		1.467914		-2.072942
3.8		-0.1685182		-2.102464
4.0		0.7826769		-2.514581
4.2		0.1056268		-2.876363
4.4		0.5496971		-3.026674
4.6		1.637865		-3.22365
4.8		1.686382		-3.52407
5.0		0.6407087		-3.617066
5.2		0.9078452		-3.390267
5.4		1.173977		-3.167633
5.6		1.188494		-3.204016
5.8		1.119409		-3.314166
6.0		1.251027		-3.225427
6.2		1.441065		-3.089203
6.4		1.308309		-3.254081
6.6		0.9448834		-3.645664
6.8		0.7497658		-3.889324
7.0		0.6957502		-3.975902
7.2		0.4780535		-4.197267
7.4		0.2540401		-4.491787
7.6		0.4065697		-4.462672
7.8		0.8678186		-4.03476
8.0		1.265478		-3.627323
8.2		1.351236		-3.581986
8.4		1.217172		-3.774046
8.6		1.059912		-3.952617
8.8		0.8096105		-4.197504
9.0		0.3692795		-4.691432
9.2		-0.08394146		-5.209606
9.4		-0.1362604		-5.30078
9.6		0.283544		-4.963314
9.8		0.6505946		-4.644276
10.0		0.7539193		-4.543155
10.2		0.8668991		-4.462496
10.4		1.008708		-4.35637
10.6		0.8816827		-4.488106
10.8		0.4772816		-4.908925
11.0		0.1796484		-5.267921
11.2		0.1426214		-5.334297
11.4		0.1403155		-5.333641
11.6		-0.03346092		-5.523589
11.8		-0.229736		-5.745025
12.0		-0.09980589		-5.677063
12.2		0.2830109		-5.377665
12.4		0.4689252		-5.214769
12.6		0.406332		-5.273106
12.8		0.4339306		-5.262392
13.0		0.5564787		-5.140971
13.2		0.3368829		-5.303097
13.4		-0.2829999		-5.878429
13.6		-0.7463022		-6.417727
13.8		-0.7754435		-6.538428
14.0		-0.6381325		-6.404483
14.2		-0.5108676		-6.285355
14.4		-0.2390363		-6.101198
14.6		0.1483117		-5.71038
14.8		0.3361619		-5.370862
15.0		0.1809996		-5.503193
15.2		-0.1688092		-6.034723
15.4		-0.5349693		-6.473031
15.6		-0.8611255		-6.645413
15.8		-1.100317		-6.804581
16.0		-1.142712		-7.001667
16.2		-0.9881081		-6.950874
16.4		-0.8193321		-6.587615
16.6		-0.649674		-6.293674
16.8		-0.4654546		-6.345468
17.0		-0.3893228		-6.492678
17.2		-0.4750787		-6.426632
17.4		-0.7036582		-6.355812
17.6		-0.9508207		-6.613878
17.8		-1.135667		-7.026317
18.0		-1.351591		-7.211494
18.2		-1.6445		-7.221032
18.4		-1.738217		-7.348519
18.6		-1.519307		-7.519249
18.8		-1.305216		-7.378553
19.0		-1.206002		-6.886581
19.2		-1.048507		-6.460935
19.4		-0.8429546		-6.456446
19.6		-0.9214479		-6.751659
19.8		-1.458398		-7.037196
20.0		-2.070645		-7.327616
20.2		-2.317853		-7.77853
20.4		-2.315894		-8.143208
20.6		-2.342836		-8.007948
20.8		-2.299428		-7.503575
21.0		-2.000008		-7.159405
21.2		-1.626651		-7.100552
21.4		-1.502997		-7.024052
21.6		-1.731739		-6.926861
21.8		-2.118264		-7.148774
22.0		-2.370948		-7.640915
22.2		-2.525886		-7.931507
22.4		-2.767999		-7.866666
22.6		-2.982895		-7.785239
22.8		-2.934366		-7.906418
23.0		-2.743456		-8.019858
23.2		-2.683483		-7.850757
23.4		-2.623647		-7.488449
23.6		-2.345029		-7.281866
23.8		-2.11729		-7.326685
24.0		-2.24677		-7.362564
24.2		-2.590046		-7.327489
24.4		-2.876819		-7.555159
24.6		-3.090897		-8.114337
24.8		-3.309465		-8.518809
25.0		-3.379039		-8.43346
25.2		-3.161377		-8.134821
25.4		-2.748114		-7.924131
25.6		-2.350007		-7.657426
25.8		-2.099127		-7.215128
26.0		-2.006686		-6.967036
26.2		-2.146856		-7.273171
26.4		-2.470797		-7.840144
26.6		-2.749975		-8.150365
26.8		-2.878846		-8.205579
27.0		-2.893749		-8.283114
27.2		-2.759667		-8.342506
27.4		-2.448522		-8.144219
27.6		-2.072618		-7.711655
27.8		-1.78016		-7.39756
28.0		-1.636808		-7.44405
