35.0, 5084.379, 5084.379
35.2, 5091.301, 5091.301
35.4, 5095.329, 5095.33
35.6, 5088.491, 5088.492
35.8, 5076.336, 5076.338
36.0, 5067.36, 5067.36
36.2, 5062.254, 5062.255
36.4, 5060.633, 5060.634
36.6, 5061.683, 5061.683
36.8, 5065.011, 5065.012
37.0, 5074.117, 5074.118
37.2, 5088.371, 5088.371
37.4, 5094.762, 5094.764
37.6, 5087.626, 5087.628
37.8, 5080.122, 5080.123
38.0, 5079.306, 5079.307
38.2, 5073.637, 5073.639
38.4, 5059.951, 5059.952
38.6, 5051.728, 5051.73
38.8, 5054.697, 5054.699
39.0, 5060.192, 5060.193
39.2, 5064.389, 5064.39
39.4, 5073.933, 5073.935
39.6, 5086.659, 5086.66
39.8, 5090.733, 5090.734
40.0, 5083.987, 5083.989
40.2, 5075.348, 5075.35
40.4, 5068.99, 5068.992
40.6, 5062.904, 5062.905
40.8, 5054.371, 5054.372
41.0, 5045.885, 5045.887
41.2, 5049.736, 5049.738
41.4, 5070.09, 5070.091
41.6, 5085.526, 5085.527
41.8, 5080.429, 5080.431
42.0, 5074.152, 5074.156
42.2, 5080.872, 5080.874
42.4, 5081.378, 5081.378
42.6, 5063.526, 5063.527
42.8, 5047.089, 5047.091
43.0, 5047.207, 5047.209
43.2, 5054.746, 5054.746
43.4, 5057.728, 5057.728
43.6, 5061.104, 5061.107
43.8, 5073.787, 5073.79
44.0, 5087.185, 5087.186
44.2, 5086.993, 5086.993
44.4, 5078.437, 5078.439
44.6, 5073.303, 5073.307
44.8, 5067.992, 5067.994
45.0, 5056.912, 5056.911
45.2, 5043.259, 5043.26
45.4, 5036.516, 5036.518
45.6, 5046.47, 5046.472
45.8, 5066.709, 5066.708
46.0, 5074.916, 5074.916
46.2, 5073.247, 5073.249
46.4, 5083.988, 5083.992
46.6, 5096.821, 5096.821
46.8, 5084.227, 5084.226
47.0, 5057.687, 5057.689
47.2, 5046.308, 5046.311
47.4, 5049.941, 5049.941
47.6, 5050.784, 5050.781
47.8, 5046.421, 5046.42
48.0, 5051.131, 5051.133
48.2, 5069.19, 5069.192
48.4, 5084.615, 5084.614
48.6, 5083.762, 5083.761
48.8, 5075.623, 5075.625
49.0, 5072.431, 5072.434
49.2, 5069.931, 5069.93
49.4, 5059.102, 5059.1
49.6, 5044.437, 5044.437
49.8, 5041.363, 5041.364
50.0, 5052.885, 5052.885
50.2, 5061.963, 5061.961
50.4, 5062.824, 5062.824
50.6, 5072.235, 5072.237
50.8, 5089.092, 5089.094
51.0, 5090.611, 5090.611
51.2, 5074.198, 5074.197
51.4, 5058.055, 5058.057
51.6, 5049.915, 5049.917
51.8, 5046.81, 5046.81
52.0, 5044.444, 5044.442
52.2, 5041.511, 5041.511
52.4, 5046.71, 5046.712
52.6, 5067.702, 5067.703
52.8, 5090.021, 5090.02
53.0, 5091.843, 5091.843
53.2, 5078.277, 5078.28
53.4, 5070.983, 5070.987
53.6, 5071.528, 5071.529
53.8, 5061.086, 5061.085
54.0, 5038.963, 5038.964
54.2, 5030.819, 5030.821
54.4, 5045.884, 5045.884
54.6, 5059.229, 5059.227
54.8, 5059.936, 5059.937
55.0, 5067.806, 5067.81
55.2, 5084.669, 5084.672
55.4, 5088.668, 5088.669
55.6, 5077.855, 5077.856
55.8, 5066.831, 5066.833
56.0, 5058.98, 5058.982
56.2, 5052.439, 5052.439
56.4, 5045.212, 5045.213
56.6, 5038.053, 5038.056
56.8, 5043.675, 5043.678
57.0, 5066.957, 5066.959
57.2, 5085.065, 5085.067
57.4, 5081.522, 5081.524
57.6, 5073.901, 5073.904
57.8, 5078.749, 5078.752
58.0, 5080.384, 5080.386
58.2, 5060.134, 5060.136
58.4, 5035.283, 5035.286
58.6, 5034.395, 5034.397
58.8, 5052.841, 5052.842
59.0, 5064.811, 5064.812
59.2, 5066.118, 5066.12
59.4, 5072.717, 5072.72
59.6, 5087.134, 5087.137
59.8, 5092.583, 5092.586
60.0, 5082.001, 5082.005
60.2, 5068.289, 5068.292
60.4, 5061.151, 5061.152
60.6, 5054.768, 5054.769
60.8, 5044.399, 5044.401
61.0, 5040.71, 5040.712
61.2, 5053.53, 5053.532
61.4, 5071.531, 5071.534
61.6, 5078.356, 5078.359
61.8, 5080.548, 5080.552
62.0, 5091.09, 5091.091
62.2, 5099.99, 5099.991
62.4, 5088.769, 5088.772
62.6, 5064.269, 5064.272
62.8, 5049.057, 5049.059
63.0, 5050.016, 5050.017
63.2, 5055.707, 5055.709
63.4, 5058.105, 5058.108
63.6, 5063.106, 5063.108
63.8, 5077.7, 5077.701
64.0, 5093.851, 5093.852
64.2, 5097.331, 5097.334
64.4, 5089.341, 5089.344
